,precision,recall,f1-score,support
COVID-19,0.42857142857142855,0.2903225806451613,0.34615384615384615,31.0
normal,0.8677333333333334,0.9499343161582251,0.9069751236847606,6851.0
pneumonia,0.9063739751388522,0.7753393665158371,0.8357517375929765,4420.0
accuracy,0.8798442753494957,0.8798442753494957,0.8798442753494957,0.8798442753494957
macro avg,0.7342262456812048,0.6718654211064079,0.6962935691438611,11302.0
weighted avg,0.8816403955995494,0.8798442753494957,0.8775827306455514,11302.0
