,precision,recall,f1-score,support
COVID-19,0.36363636363636365,0.12903225806451613,0.19047619047619047,31.0
normal,0.8694822888283379,0.9315428404612466,0.8994433091395955,6851.0
pneumonia,0.8777524677296887,0.7846153846153846,0.8285748417154462,4420.0
accuracy,0.8718810829941603,0.8718810829941603,0.8718810829941603,0.8718810829941603
macro avg,0.7036237067314635,0.6150634943803824,0.6394981137770773,11302.0
weighted avg,0.8713291271811091,0.8718810829941603,0.8697833722529112,11302.0
