,precision,recall,f1-score,support
COVID-19,0.11794871794871795,0.7419354838709677,0.20353982300884957,31.0
normal,0.9222544676951275,0.8813311925266385,0.9013285565009703,6851.0
pneumonia,0.8333333333333334,0.8597285067873304,0.8463251670378619,4420.0
accuracy,0.8725004423995752,0.8725004423995752,0.8725004423995752,0.8725004423995752
macro avg,0.6245121729923929,0.8276650610616455,0.6503978488492272,11302.0
weighted avg,0.8852729695424759,0.8725004423995752,0.8779038146707461,11302.0
