,precision,recall,f1-score,support
COVID-19,0.19642857142857142,0.7096774193548387,0.3076923076923077,31.0
normal,0.9359127576934568,0.9144650415997665,0.9250645994832042,6851.0
pneumonia,0.8736654804270463,0.8886877828054298,0.8811126065500224,4420.0
accuracy,0.903822332330561,0.903822332330561,0.903822332330561,0.903822332330561
macro avg,0.6686689365163582,0.837610081253345,0.7046231712418448,11302.0
weighted avg,0.9095407018368168,0.903822332330561,0.906182423778888,11302.0
