,precision,recall,f1-score,support
COVID-19,0.16216216216216217,0.3870967741935484,0.22857142857142856,31.0
normal,0.9024320046049792,0.9153408261567655,0.908840579710145,6851.0
pneumonia,0.8663239074550129,0.8386877828054299,0.8522818714794804,4420.0
accuracy,0.8839143514422226,0.8839143514422226,0.8839143514422226,0.8839143514422226
macro avg,0.6436393580740515,0.7137084610519145,0.6632312932536847,11302.0
weighted avg,0.8862803363587768,0.8839143514422226,0.8848556359776341,11302.0
