,precision,recall,f1-score,support
COVID-19,0.5714285714285714,0.12903225806451613,0.21052631578947367,31.0
normal,0.9225216554379211,0.8394394978835207,0.8790217806648835,6851.0
pneumonia,0.7794902193242442,0.8925339366515838,0.8321906971838414,4420.0
accuracy,0.858255176075031,0.858255176075031,0.858255176075031,0.858255176075031
macro avg,0.7578134820635789,0.6203352308665402,0.6405795978793996,11302.0
weighted avg,0.8656217409779369,0.858255176075031,0.8588734221091108,11302.0
