,precision,recall,f1-score,support
COVID-19,0.19298245614035087,0.7096774193548387,0.30344827586206896,31.0
normal,0.9302086394357919,0.9240986717267552,0.9271435893680896,6851.0
pneumonia,0.8852122318575992,0.8776018099547511,0.8813905930470347,4420.0
accuracy,0.9053264908865688,0.9053264908865688,0.9053264908865688,0.9053264908865688
macro avg,0.6694677758112473,0.8371259670121151,0.7039941527590644,11302.0
weighted avg,0.9105892682468191,0.9053264908865688,0.9075397317802513,11302.0
