,precision,recall,f1-score,support
COVID-19,0.2079207920792079,0.6774193548387096,0.3181818181818182,31.0
normal,0.9438831027514379,0.886293971682966,0.9141824751580849,6851.0
pneumonia,0.84123322147651,0.9074660633484163,0.8730953417501088,4420.0
accuracy,0.8940010617589808,0.8940010617589808,0.8940010617589808,0.8940010617589808
macro avg,0.6643457054357187,0.8237264632900306,0.7018198783633373,11302.0
weighted avg,0.9017200071165042,0.8940010617589808,0.8964793119985096,11302.0
