,precision,recall,f1-score,support
COVID-19,0.20588235294117646,0.6774193548387096,0.3157894736842105,31.0
normal,0.9460861364350833,0.8785578747628083,0.9110724286687354,6851.0
pneumonia,0.8327821413807358,0.9115384615384615,0.8703823720025924,4420.0
accuracy,0.8909042647319059,0.8909042647319059,0.8909042647319059,0.8909042647319059
macro avg,0.6615835435856652,0.8225052303799932,0.6990814247851794,11302.0
weighted avg,0.8997447830968665,0.8909042647319059,0.8935265233361506,11302.0
